case_index,case_id,N,Re,scheme,pressure,steps,poisson_iters,repeat,field_file,status
13,case13_N128_Re100_upwind_steps2500_p250,128,100,upwind,RBSOR,2500,250,3,,success
14,case14_N128_Re100_central_steps2500_p250,128,100,central,RBGS,2500,250,1,saved_runs/cuda_cpu_exact_full_A100_21180878/fields/case14_N128_Re100_central_steps2500_p250_RBGS_fields.csv,success
14,case14_N128_Re100_central_steps2500_p250,128,100,central,RBGS,2500,250,2,,success
14,case14_N128_Re100_central_steps2500_p250,128,100,central,RBGS,2500,250,3,,success
14,case14_N128_Re100_central_steps2500_p250,128,100,central,RBSOR,2500,250,1,saved_runs/cuda_cpu_exact_full_A100_21180878/fields/case14_N128_Re100_central_steps2500_p250_RBSOR_fields.csv,success
14,case14_N128_Re100_central_steps2500_p250,128,100,central,RBSOR,2500,250,2,,success
14,case14_N128_Re100_central_steps2500_p250,128,100,central,RBSOR,2500,250,3,,success
15,case15_N128_Re400_upwind_steps2500_p250,128,400,upwind,RBGS,2500,250,1,saved_runs/cuda_cpu_exact_full_A100_21180878/fields/case15_N128_Re400_upwind_steps2500_p250_RBGS_fields.csv,success
15,case15_N128_Re400_upwind_steps2500_p250,128,400,upwind,RBGS,2500,250,2,,success
15,case15_N128_Re400_upwind_steps2500_p250,128,400,upwind,RBGS,2500,250,3,,success
15,case15_N128_Re400_upwind_steps2500_p250,128,400,upwind,RBSOR,2500,250,1,saved_runs/cuda_cpu_exact_full_A100_21180878/fields/case15_N128_Re400_upwind_steps2500_p250_RBSOR_fields.csv,success
15,case15_N128_Re400_upwind_steps2500_p250,128,400,upwind,RBSOR,2500,250,2,,success
15,case15_N128_Re400_upwind_steps2500_p250,128,400,upwind,RBSOR,2500,250,3,,success
16,case16_N128_Re400_central_steps2500_p250,128,400,central,RBGS,2500,250,1,saved_runs/cuda_cpu_exact_full_A100_21180878/fields/case16_N128_Re400_central_steps2500_p250_RBGS_fields.csv,success
16,case16_N128_Re400_central_steps2500_p250,128,400,central,RBGS,2500,250,2,,success
16,case16_N128_Re400_central_steps2500_p250,128,400,central,RBGS,2500,250,3,,success
16,case16_N128_Re400_central_steps2500_p250,128,400,central,RBSOR,2500,250,1,saved_runs/cuda_cpu_exact_full_A100_21180878/fields/case16_N128_Re400_central_steps2500_p250_RBSOR_fields.csv,success
16,case16_N128_Re400_central_steps2500_p250,128,400,central,RBSOR,2500,250,2,,success
16,case16_N128_Re400_central_steps2500_p250,128,400,central,RBSOR,2500,250,3,,success
17,case17_N128_Re1000_upwind_steps4000_p300,128,1000,upwind,RBGS,4000,300,1,saved_runs/cuda_cpu_exact_full_A100_21180878/fields/case17_N128_Re1000_upwind_steps4000_p300_RBGS_fields.csv,success
17,case17_N128_Re1000_upwind_steps4000_p300,128,1000,upwind,RBGS,4000,300,2,,success
17,case17_N128_Re1000_upwind_steps4000_p300,128,1000,upwind,RBGS,4000,300,3,,success
17,case17_N128_Re1000_upwind_steps4000_p300,128,1000,upwind,RBSOR,4000,300,1,saved_runs/cuda_cpu_exact_full_A100_21180878/fields/case17_N128_Re1000_upwind_steps4000_p300_RBSOR_fields.csv,success
17,case17_N128_Re1000_upwind_steps4000_p300,128,1000,upwind,RBSOR,4000,300,2,,success
17,case17_N128_Re1000_upwind_steps4000_p300,128,1000,upwind,RBSOR,4000,300,3,,success
18,case18_N128_Re1000_central_steps4000_p300,128,1000,central,RBGS,4000,300,1,saved_runs/cuda_cpu_exact_full_A100_21180878/fields/case18_N128_Re1000_central_steps4000_p300_RBGS_fields.csv,success
18,case18_N128_Re1000_central_steps4000_p300,128,1000,central,RBGS,4000,300,2,,success
18,case18_N128_Re1000_central_steps4000_p300,128,1000,central,RBGS,4000,300,3,,success
18,case18_N128_Re1000_central_steps4000_p300,128,1000,central,RBSOR,4000,300,1,saved_runs/cuda_cpu_exact_full_A100_21180878/fields/case18_N128_Re1000_central_steps4000_p300_RBSOR_fields.csv,success
18,case18_N128_Re1000_central_steps4000_p300,128,1000,central,RBSOR,4000,300,2,,success
18,case18_N128_Re1000_central_steps4000_p300,128,1000,central,RBSOR,4000,300,3,,success
