SourceFamily,CaseIndex,N_std,Re_std,Scheme_std,PressureSolver_std,Implementation_std,SuccessfulRepeats,RuntimeMean_s,RuntimeStd_s,RuntimeMin_s,RuntimeMedian_s,RuntimeMax_s
cuda_a100,12,64,1000,central,RBGS,cuda_projection_rbgs,3,6.48897981771,0.23161254335289302,6.247298828130001,6.510638183589999,6.70900244141
cuda_a100,12,64,1000,central,RBSOR,cuda_projection_rbsor,3,6.588681152343334,0.11899123546973987,6.51228955078,6.527972167969999,6.72578173828
cuda_a100,13,128,100,upwind,RBGS,cuda_projection_rbgs,3,8.302869466146667,0.26712289575048215,7.99520996094,8.43762402344,8.47577441406
cuda_a100,13,128,100,upwind,RBSOR,cuda_projection_rbsor,3,8.456645833333333,0.06112781336332894,8.386095703119999,8.49001855469,8.49382324219
cuda_a100,14,128,100,central,RBGS,cuda_projection_rbgs,3,8.348053059896666,0.15635066369529552,8.174126953130001,8.39308984375,8.47694238281
cuda_a100,14,128,100,central,RBSOR,cuda_projection_rbsor,3,8.161354492186666,0.015161073143704847,8.14569580078,8.16240429687,8.17596337891
cuda_a100,15,128,400,upwind,RBGS,cuda_projection_rbgs,3,8.145122721356666,0.13993754683970092,7.99523339844,8.16779492188,8.27233984375
cuda_a100,15,128,400,upwind,RBSOR,cuda_projection_rbsor,3,8.140025065103332,0.12718467166849767,8.041255859369999,8.09528515625,8.28353417969
cuda_a100,16,128,400,central,RBGS,cuda_projection_rbgs,3,8.099892089846668,0.07370571405120678,8.02991796875,8.09292382813,8.17683447266
cuda_a100,16,128,400,central,RBSOR,cuda_projection_rbsor,3,8.418670247396667,0.051131913816761666,8.36037402344,8.43971679688,8.455919921869999
cuda_a100,17,128,1000,upwind,RBGS,cuda_projection_rbgs,3,15.689145833333333,0.04641343844149664,15.6498408203,15.677246093800001,15.7403505859
cuda_a100,17,128,1000,upwind,RBSOR,cuda_projection_rbsor,3,16.115819987,0.13453047137442894,15.972214843800002,16.1363232422,16.238921875
cuda_a100,18,128,1000,central,RBGS,cuda_projection_rbgs,3,15.8298564453,0.32284319078212537,15.555741210899999,15.7481142578,16.1857138672
cuda_a100,18,128,1000,central,RBSOR,cuda_projection_rbsor,3,16.146430013033335,0.10031769982400994,16.0324072266,16.185756835899998,16.2211259766
