SourceFamily,CaseID,Implementation,N,Re,Scheme,PressureSolver,Status,Quality,Iterations,LocalMaxIter,FinalRu,FinalRv,FinalRcMass,FinalRcDiv,Runtime_s,AvgPoissonIterations,AvgPoissonRelResidual,PressureSaturationRatio,HasGhia,ValidationPass,Ghia_u_L2,Ghia_v_L2,Ghia_u_Linf,Ghia_v_Linf,Ghia_u_L2_Limit,Ghia_v_L2_Limit,FieldCSV,PressureSolver_std,Language_std,Implementation_std,ParallelModel_std,N_std,Re_std,Scheme_std,CaseIndex
cuda_a100,1,cuda_projection_rbsor,32,400,central,RBSOR,maxIter,gpu_benchmark,1000,1000,,,,,2.42530297852,200,,0,1,0,0.17959534463619045,0.20595057255140686,0.35315516413025905,0.4033030429386092,0.09,0.12,saved_runs/cuda_cpu_exact_full_A100_21180878/fields/case4_N32_Re400_central_steps1000_p200_RBSOR_fields.csv,RBSOR,unknown,cuda_projection_rbsor,unknown,32,400,central,4
cuda_a100,1,cuda_projection_rbgs,32,1000,upwind,RBGS,maxIter,gpu_benchmark,2000,2000,,,,,6.237384765630001,250,,0,1,0,0.199951336097868,0.2873925803222035,0.3731297515474251,0.4811961761579177,0.16,0.18,saved_runs/cuda_cpu_exact_full_A100_21180878/fields/case5_N32_Re1000_upwind_steps2000_p250_RBGS_fields.csv,RBGS,unknown,cuda_projection_rbgs,unknown,32,1000,upwind,5
cuda_a100,1,cuda_projection_rbgs,32,1000,upwind,RBGS,maxIter,gpu_benchmark,2000,2000,,,,,6.107414550780001,250,,0,1,0,0.199951336097868,0.2873925803222035,0.3731297515474251,0.4811961761579177,0.16,0.18,saved_runs/cuda_cpu_exact_full_A100_21180878/fields/case5_N32_Re1000_upwind_steps2000_p250_RBGS_fields.csv,RBGS,unknown,cuda_projection_rbgs,unknown,32,1000,upwind,5
cuda_a100,1,cuda_projection_rbgs,32,1000,upwind,RBGS,maxIter,gpu_benchmark,2000,2000,,,,,6.27069970703,250,,0,1,0,0.199951336097868,0.2873925803222035,0.3731297515474251,0.4811961761579177,0.16,0.18,saved_runs/cuda_cpu_exact_full_A100_21180878/fields/case5_N32_Re1000_upwind_steps2000_p250_RBGS_fields.csv,RBGS,unknown,cuda_projection_rbgs,unknown,32,1000,upwind,5
cuda_a100,1,cuda_projection_rbsor,32,1000,upwind,RBSOR,maxIter,gpu_benchmark,2000,2000,,,,,6.18924462891,250,,0,1,0,0.20317057220930168,0.283948821205494,0.3746130219553245,0.4767659363464845,0.16,0.18,saved_runs/cuda_cpu_exact_full_A100_21180878/fields/case5_N32_Re1000_upwind_steps2000_p250_RBSOR_fields.csv,RBSOR,unknown,cuda_projection_rbsor,unknown,32,1000,upwind,5
cuda_a100,1,cuda_projection_rbsor,32,1000,upwind,RBSOR,maxIter,gpu_benchmark,2000,2000,,,,,6.47152734375,250,,0,1,0,0.20317057220930168,0.283948821205494,0.3746130219553245,0.4767659363464845,0.16,0.18,saved_runs/cuda_cpu_exact_full_A100_21180878/fields/case5_N32_Re1000_upwind_steps2000_p250_RBSOR_fields.csv,RBSOR,unknown,cuda_projection_rbsor,unknown,32,1000,upwind,5
cuda_a100,1,cuda_projection_rbsor,32,1000,upwind,RBSOR,maxIter,gpu_benchmark,2000,2000,,,,,6.25073974609,250,,0,1,0,0.20317057220930168,0.283948821205494,0.3746130219553245,0.4767659363464845,0.16,0.18,saved_runs/cuda_cpu_exact_full_A100_21180878/fields/case5_N32_Re1000_upwind_steps2000_p250_RBSOR_fields.csv,RBSOR,unknown,cuda_projection_rbsor,unknown,32,1000,upwind,5
cuda_a100,1,cuda_projection_rbgs,32,1000,central,RBGS,maxIter,gpu_benchmark,2000,2000,,,,,6.35585449219,250,,0,1,0,0.23792281002491475,0.2951274929177136,0.3799278660127745,0.494885512216396,0.16,0.18,saved_runs/cuda_cpu_exact_full_A100_21180878/fields/case6_N32_Re1000_central_steps2000_p250_RBGS_fields.csv,RBGS,unknown,cuda_projection_rbgs,unknown,32,1000,central,6
cuda_a100,1,cuda_projection_rbgs,32,1000,central,RBGS,maxIter,gpu_benchmark,2000,2000,,,,,6.4726015625,250,,0,1,0,0.23792281002491475,0.2951274929177136,0.3799278660127745,0.494885512216396,0.16,0.18,saved_runs/cuda_cpu_exact_full_A100_21180878/fields/case6_N32_Re1000_central_steps2000_p250_RBGS_fields.csv,RBGS,unknown,cuda_projection_rbgs,unknown,32,1000,central,6
cuda_a100,1,cuda_projection_rbgs,32,1000,central,RBGS,maxIter,gpu_benchmark,2000,2000,,,,,6.2192597656199995,250,,0,1,0,0.23792281002491475,0.2951274929177136,0.3799278660127745,0.494885512216396,0.16,0.18,saved_runs/cuda_cpu_exact_full_A100_21180878/fields/case6_N32_Re1000_central_steps2000_p250_RBGS_fields.csv,RBGS,unknown,cuda_projection_rbgs,unknown,32,1000,central,6
cuda_a100,1,cuda_projection_rbsor,32,1000,central,RBSOR,maxIter,gpu_benchmark,2000,2000,,,,,6.13345996094,250,,0,1,0,0.37912587768182543,0.2720029326951097,0.7528593735432136,0.47043190961931697,0.16,0.18,saved_runs/cuda_cpu_exact_full_A100_21180878/fields/case6_N32_Re1000_central_steps2000_p250_RBSOR_fields.csv,RBSOR,unknown,cuda_projection_rbsor,unknown,32,1000,central,6
cuda_a100,1,cuda_projection_rbsor,32,1000,central,RBSOR,maxIter,gpu_benchmark,2000,2000,,,,,6.45835058594,250,,0,1,0,0.37912587768182543,0.2720029326951097,0.7528593735432136,0.47043190961931697,0.16,0.18,saved_runs/cuda_cpu_exact_full_A100_21180878/fields/case6_N32_Re1000_central_steps2000_p250_RBSOR_fields.csv,RBSOR,unknown,cuda_projection_rbsor,unknown,32,1000,central,6
cuda_a100,1,cuda_projection_rbsor,32,1000,central,RBSOR,maxIter,gpu_benchmark,2000,2000,,,,,6.4028896484399995,250,,0,1,0,0.37912587768182543,0.2720029326951097,0.7528593735432136,0.47043190961931697,0.16,0.18,saved_runs/cuda_cpu_exact_full_A100_21180878/fields/case6_N32_Re1000_central_steps2000_p250_RBSOR_fields.csv,RBSOR,unknown,cuda_projection_rbsor,unknown,32,1000,central,6
cuda_a100,1,cuda_projection_rbgs,64,100,upwind,RBGS,maxIter,gpu_benchmark,1000,1000,,,,,2.68141357422,200,,0,1,0,0.059587995345211225,0.057340511290448974,0.1240693153255798,0.11496278005038285,0.03,0.03,saved_runs/cuda_cpu_exact_full_A100_21180878/fields/case7_N64_Re100_upwind_steps1000_p200_RBGS_fields.csv,RBGS,unknown,cuda_projection_rbgs,unknown,64,100,upwind,7
cuda_a100,1,cuda_projection_rbgs,64,100,upwind,RBGS,maxIter,gpu_benchmark,1000,1000,,,,,2.5718937988299997,200,,0,1,0,0.059587995345211225,0.057340511290448974,0.1240693153255798,0.11496278005038285,0.03,0.03,saved_runs/cuda_cpu_exact_full_A100_21180878/fields/case7_N64_Re100_upwind_steps1000_p200_RBGS_fields.csv,RBGS,unknown,cuda_projection_rbgs,unknown,64,100,upwind,7
cuda_a100,1,cuda_projection_rbgs,64,100,upwind,RBGS,maxIter,gpu_benchmark,1000,1000,,,,,2.52326293945,200,,0,1,0,0.059587995345211225,0.057340511290448974,0.1240693153255798,0.11496278005038285,0.03,0.03,saved_runs/cuda_cpu_exact_full_A100_21180878/fields/case7_N64_Re100_upwind_steps1000_p200_RBGS_fields.csv,RBGS,unknown,cuda_projection_rbgs,unknown,64,100,upwind,7
