SourceFamily,CaseFolder,timestamp_utc,host,solver_group,language,parallel_model,kernel_style,case_id,N,Re,scheme,pressure,steps,poisson_iters,mpi_ranks,threads_per_rank,total_cores,repeat,runtime_s,final_omega_change,final_psi_change,final_ru,final_rv,final_rc_mass,final_rc_div,max_velocity,source_summary,status,log_file,Runtime_s,PressureSolver_std,Language_std,Implementation_std,ParallelModel_std,N_std,Re_std,Scheme_std,CaseIndex
openmp,openmp_case_1,2026-07-02T13:58:07+00:00,node15.stromboli,cpp_openmp_domain_looped,cpp,openmp_domain,looped,case1_N32_Re100_upwind_steps1000_p200,32,100,upwind,RBSOR,1000,200,1,4,4,1,1.0554431379,0.00020320677766,9.7658309657e-07,,,,,0.80916698388,cpp/openmp_domain_looped/results/data/cpp_openmp_domain_looped_summary.csv,success,logs/strong_scaling_parts/openmp_case_1/strong_scaling_20260702_155617.log,1.0554431379,unknown,cpp,unknown,openmp_domain,32,100,upwind,1
openmp,openmp_case_1,2026-07-02T13:58:09+00:00,node15.stromboli,cpp_openmp_domain_looped,cpp,openmp_domain,looped,case1_N32_Re100_upwind_steps1000_p200,32,100,upwind,RBSOR,1000,200,1,8,8,1,1.7905737869,0.00020320677766,9.7658309657e-07,,,,,0.80916698388,cpp/openmp_domain_looped/results/data/cpp_openmp_domain_looped_summary.csv,success,logs/strong_scaling_parts/openmp_case_1/strong_scaling_20260702_155617.log,1.7905737869,unknown,cpp,unknown,openmp_domain,32,100,upwind,1
openmp,openmp_case_1,2026-07-02T13:58:14+00:00,node15.stromboli,cpp_openmp_domain_looped,cpp,openmp_domain,looped,case1_N32_Re100_upwind_steps1000_p200,32,100,upwind,RBSOR,1000,200,1,16,16,1,3.5506263151999997,0.00020320677766,9.7658309657e-07,,,,,0.80916698388,cpp/openmp_domain_looped/results/data/cpp_openmp_domain_looped_summary.csv,success,logs/strong_scaling_parts/openmp_case_1/strong_scaling_20260702_155617.log,3.5506263151999997,unknown,cpp,unknown,openmp_domain,32,100,upwind,1
openmp,openmp_case_1,2026-07-02T13:58:15+00:00,node15.stromboli,cpp_openmp_domain_vectorized,cpp,openmp_domain,vectorized,case1_N32_Re100_upwind_steps1000_p200,32,100,upwind,RBSOR,1000,200,1,1,1,1,0.5209994093,0.00020320677766,9.7658309654e-07,,,,,0.80916698388,cpp/openmp_domain_vectorized/results/data/cpp_openmp_domain_vectorized_summary.csv,success,logs/strong_scaling_parts/openmp_case_1/strong_scaling_20260702_155617.log,0.5209994093,unknown,cpp,unknown,openmp_domain,32,100,upwind,1
openmp,openmp_case_1,2026-07-02T13:58:17+00:00,node15.stromboli,cpp_openmp_domain_vectorized,cpp,openmp_domain,vectorized,case1_N32_Re100_upwind_steps1000_p200,32,100,upwind,RBSOR,1000,200,1,2,2,1,0.7843091823,0.00020320677766,9.7658309654e-07,,,,,0.80916698388,cpp/openmp_domain_vectorized/results/data/cpp_openmp_domain_vectorized_summary.csv,success,logs/strong_scaling_parts/openmp_case_1/strong_scaling_20260702_155617.log,0.7843091823,unknown,cpp,unknown,openmp_domain,32,100,upwind,1
openmp,openmp_case_1,2026-07-02T13:58:19+00:00,node15.stromboli,cpp_openmp_domain_vectorized,cpp,openmp_domain,vectorized,case1_N32_Re100_upwind_steps1000_p200,32,100,upwind,RBSOR,1000,200,1,4,4,1,1.0160114579000001,0.00020320677766,9.7658309654e-07,,,,,0.80916698388,cpp/openmp_domain_vectorized/results/data/cpp_openmp_domain_vectorized_summary.csv,success,logs/strong_scaling_parts/openmp_case_1/strong_scaling_20260702_155617.log,1.0160114579000001,unknown,cpp,unknown,openmp_domain,32,100,upwind,1
openmp,openmp_case_1,2026-07-02T13:58:22+00:00,node15.stromboli,cpp_openmp_domain_vectorized,cpp,openmp_domain,vectorized,case1_N32_Re100_upwind_steps1000_p200,32,100,upwind,RBSOR,1000,200,1,8,8,1,1.7807768769999999,0.00020320677766,9.7658309654e-07,,,,,0.80916698388,cpp/openmp_domain_vectorized/results/data/cpp_openmp_domain_vectorized_summary.csv,success,logs/strong_scaling_parts/openmp_case_1/strong_scaling_20260702_155617.log,1.7807768769999999,unknown,cpp,unknown,openmp_domain,32,100,upwind,1
openmp,openmp_case_1,2026-07-02T13:58:30+00:00,node15.stromboli,cpp_openmp_domain_vectorized,cpp,openmp_domain,vectorized,case1_N32_Re100_upwind_steps1000_p200,32,100,upwind,RBSOR,1000,200,1,16,16,1,6.7292278185,0.00020320677766,9.7658309654e-07,,,,,0.80916698388,cpp/openmp_domain_vectorized/results/data/cpp_openmp_domain_vectorized_summary.csv,success,logs/strong_scaling_parts/openmp_case_1/strong_scaling_20260702_155617.log,6.7292278185,unknown,cpp,unknown,openmp_domain,32,100,upwind,1
openmp,openmp_case_1,2026-07-02T13:58:32+00:00,node15.stromboli,c_openmp_domain_looped,c,openmp_domain,looped,case1_N32_Re100_upwind_steps1000_p200,32,100,upwind,RBGS,1000,200,1,1,1,2,1.1470107995,0.00020307700515,9.9499451862e-07,,,,,0.80915507345,c/openmp_domain_looped/results/data/c_openmp_domain_looped_summary.csv,success,logs/strong_scaling_parts/openmp_case_1/strong_scaling_20260702_155617.log,1.1470107995,unknown,c,unknown,openmp_domain,32,100,upwind,1
openmp,openmp_case_1,2026-07-02T13:58:34+00:00,node15.stromboli,c_openmp_domain_looped,c,openmp_domain,looped,case1_N32_Re100_upwind_steps1000_p200,32,100,upwind,RBGS,1000,200,1,2,2,2,1.5123845003999998,0.00020307700515,9.9499451862e-07,,,,,0.80915507345,c/openmp_domain_looped/results/data/c_openmp_domain_looped_summary.csv,success,logs/strong_scaling_parts/openmp_case_1/strong_scaling_20260702_155617.log,1.5123845003999998,unknown,c,unknown,openmp_domain,32,100,upwind,1
openmp,openmp_case_1,2026-07-02T13:58:37+00:00,node15.stromboli,c_openmp_domain_looped,c,openmp_domain,looped,case1_N32_Re100_upwind_steps1000_p200,32,100,upwind,RBGS,1000,200,1,4,4,2,2.1304868273,0.00020307700515,9.9499451862e-07,,,,,0.80915507345,c/openmp_domain_looped/results/data/c_openmp_domain_looped_summary.csv,success,logs/strong_scaling_parts/openmp_case_1/strong_scaling_20260702_155617.log,2.1304868273,unknown,c,unknown,openmp_domain,32,100,upwind,1
openmp,openmp_case_1,2026-07-02T13:58:41+00:00,node15.stromboli,c_openmp_domain_looped,c,openmp_domain,looped,case1_N32_Re100_upwind_steps1000_p200,32,100,upwind,RBGS,1000,200,1,8,8,2,3.7064661011,0.00020307700515,9.9499451862e-07,,,,,0.80915507345,c/openmp_domain_looped/results/data/c_openmp_domain_looped_summary.csv,success,logs/strong_scaling_parts/openmp_case_1/strong_scaling_20260702_155617.log,3.7064661011,unknown,c,unknown,openmp_domain,32,100,upwind,1
openmp,openmp_case_1,2026-07-02T13:58:50+00:00,node15.stromboli,c_openmp_domain_looped,c,openmp_domain,looped,case1_N32_Re100_upwind_steps1000_p200,32,100,upwind,RBGS,1000,200,1,16,16,2,7.5634617172,0.00020307700515,9.9499451862e-07,,,,,0.80915507345,c/openmp_domain_looped/results/data/c_openmp_domain_looped_summary.csv,success,logs/strong_scaling_parts/openmp_case_1/strong_scaling_20260702_155617.log,7.5634617172,unknown,c,unknown,openmp_domain,32,100,upwind,1
openmp,openmp_case_1,2026-07-02T13:58:51+00:00,node15.stromboli,c_openmp_domain_vectorized,c,openmp_domain,vectorized,case1_N32_Re100_upwind_steps1000_p200,32,100,upwind,RBGS,1000,200,1,1,1,2,0.9079609959999999,0.00020307700515,9.9499451862e-07,,,,,0.80915507345,c/openmp_domain_vectorized/results/data/c_openmp_domain_vectorized_summary.csv,success,logs/strong_scaling_parts/openmp_case_1/strong_scaling_20260702_155617.log,0.9079609959999999,unknown,c,unknown,openmp_domain,32,100,upwind,1
openmp,openmp_case_1,2026-07-02T13:58:53+00:00,node15.stromboli,c_openmp_domain_vectorized,c,openmp_domain,vectorized,case1_N32_Re100_upwind_steps1000_p200,32,100,upwind,RBGS,1000,200,1,2,2,2,1.3780001886000002,0.00020307700515,9.9499451862e-07,,,,,0.80915507345,c/openmp_domain_vectorized/results/data/c_openmp_domain_vectorized_summary.csv,success,logs/strong_scaling_parts/openmp_case_1/strong_scaling_20260702_155617.log,1.3780001886000002,unknown,c,unknown,openmp_domain,32,100,upwind,1
openmp,openmp_case_1,2026-07-02T13:58:56+00:00,node15.stromboli,c_openmp_domain_vectorized,c,openmp_domain,vectorized,case1_N32_Re100_upwind_steps1000_p200,32,100,upwind,RBGS,1000,200,1,4,4,2,2.1065694615,0.00020307700515,9.9499451862e-07,,,,,0.80915507345,c/openmp_domain_vectorized/results/data/c_openmp_domain_vectorized_summary.csv,success,logs/strong_scaling_parts/openmp_case_1/strong_scaling_20260702_155617.log,2.1065694615,unknown,c,unknown,openmp_domain,32,100,upwind,1
openmp,openmp_case_1,2026-07-02T13:59:01+00:00,node15.stromboli,c_openmp_domain_vectorized,c,openmp_domain,vectorized,case1_N32_Re100_upwind_steps1000_p200,32,100,upwind,RBGS,1000,200,1,8,8,2,3.6082927026,0.00020307700515,9.9499451862e-07,,,,,0.80915507345,c/openmp_domain_vectorized/results/data/c_openmp_domain_vectorized_summary.csv,success,logs/strong_scaling_parts/openmp_case_1/strong_scaling_20260702_155617.log,3.6082927026,unknown,c,unknown,openmp_domain,32,100,upwind,1
openmp,openmp_case_1,2026-07-02T13:59:09+00:00,node15.stromboli,c_openmp_domain_vectorized,c,openmp_domain,vectorized,case1_N32_Re100_upwind_steps1000_p200,32,100,upwind,RBGS,1000,200,1,16,16,2,7.9798783846,0.00020307700515,9.9499451862e-07,,,,,0.80915507345,c/openmp_domain_vectorized/results/data/c_openmp_domain_vectorized_summary.csv,success,logs/strong_scaling_parts/openmp_case_1/strong_scaling_20260702_155617.log,7.9798783846,unknown,c,unknown,openmp_domain,32,100,upwind,1
openmp,openmp_case_1,2026-07-02T13:59:12+00:00,node15.stromboli,cpp_openmp_domain_looped,cpp,openmp_domain,looped,case1_N32_Re100_upwind_steps1000_p200,32,100,upwind,RBGS,1000,200,1,1,1,2,1.1431212798000001,0.00020307700515,9.9499451862e-07,,,,,0.80915507345,cpp/openmp_domain_looped/results/data/cpp_openmp_domain_looped_summary.csv,success,logs/strong_scaling_parts/openmp_case_1/strong_scaling_20260702_155617.log,1.1431212798000001,unknown,cpp,unknown,openmp_domain,32,100,upwind,1
