SourceFamily,CaseIndex,N_std,Re_std,Scheme_std,PressureSolver_std,Language_std,Implementation_std,ParallelModel_std,SuccessfulRepeats,RuntimeMean_s,RuntimeStd_s,RuntimeMin_s,RuntimeMedian_s,RuntimeMax_s
openmp,11,64,1000,upwind,unknown,cpp,unknown,openmp_domain,60,3.897789382993333,1.8760908441580242,1.9232501946,3.22518661805,9.7565784007
openmp,12,64,1000,central,unknown,c,unknown,openmp_domain,60,4.549169813531665,2.4644234626933184,2.0781820565,3.78436574715,12.7313732468
openmp,12,64,1000,central,unknown,cpp,unknown,openmp_domain,60,4.292562073529999,2.1252975598643844,2.0764582381,3.7352196722999995,10.833779335
openmp,13,128,100,upwind,unknown,c,unknown,openmp_domain,60,4.004697518795,1.7351174697709604,2.1176134013,3.4699618947,8.6397069395
openmp,13,128,100,upwind,unknown,cpp,unknown,openmp_domain,60,4.026145224713335,1.7477134226393343,2.0895161591,3.435091801,8.6934614517
openmp,14,128,100,central,unknown,c,unknown,openmp_domain,60,11.758223539213333,4.708099613419658,6.328189000499999,10.98287937415,24.2778321356
openmp,14,128,100,central,unknown,cpp,unknown,openmp_domain,60,11.78705977238834,4.699789398550338,6.2608043291,11.153867561350001,24.4985429384
openmp,15,128,400,upwind,unknown,c,unknown,openmp_domain,60,12.194009456286668,5.203031014535891,6.2825752087,10.1979977861,26.4729174897
openmp,15,128,400,upwind,unknown,cpp,unknown,openmp_domain,60,12.220093716555006,5.225654266468891,6.2432053052,10.00244236365,26.7340890244
openmp,16,128,400,central,unknown,c,unknown,openmp_domain,60,13.130066280683335,5.421559083438815,6.611727789,11.84975032695,27.7625214159
openmp,16,128,400,central,unknown,cpp,unknown,openmp_domain,60,13.065374054826668,5.402204423622916,6.5920602977,11.662642866399999,27.9936690181
openmp,17,128,1000,upwind,unknown,c,unknown,openmp_domain,60,10.710364974038333,4.5623333062026665,5.3232354708,8.994083317000001,23.4350897223
openmp,17,128,1000,upwind,unknown,cpp,unknown,openmp_domain,60,10.702559029373335,4.604620437831655,5.2940385751,9.12656500935,23.6371388286
openmp,18,128,1000,central,unknown,c,unknown,openmp_domain,60,11.875732918451664,5.129140533593091,5.8627275041999996,10.2236328982,26.2819257788
openmp,18,128,1000,central,unknown,cpp,unknown,openmp_domain,60,11.8870139574,5.130011699807961,5.8895380497000005,10.09828743525,26.498635623600002
