i,j,x,y,u,v,p,speed,vorticity
1,10,0.0787401574803,0.00787401574803,-0.000145587162918,1.5974702887e-05,0.0250495335289,0.000146460961143,0.0258584084157
1,11,0.0866141732283,0.00787401574803,-0.000256432022348,2.01279781083e-05,0.0247658439236,0.000257220756527,0.0374843973439
1,12,0.0944881889764,0.00787401574803,-0.000285061181259,2.32257061605e-05,0.0250516216665,0.000286005787507,0.0433040358585
1,13,0.102362204724,0.00787401574803,-0.000407912493026,2.61162083863e-05,0.0247139324114,0.000408747670705,0.0564052301487
1,14,0.110236220472,0.00787401574803,-0.000446944741106,2.79750136516e-05,0.0250545039613,0.000447819386573,0.0635102562393
1,15,0.11811023622,0.00787401574803,-0.000577917027498,2.99895016503e-05,0.0246632356983,0.000578694617982,0.07766090956
1,16,0.125984251969,0.00787401574803,-0.000624307598288,3.10082238666e-05,0.0250582516362,0.000625077185016,0.0856984710936
1,17,0.133858267717,0.00787401574803,-0.000760647531404,3.25133734944e-05,0.0246138278456,0.00076134209557,0.100581439612
1,18,0.141732283465,0.00787401574803,-0.000812450371685,3.30366300768e-05,0.0250626679385,0.000813121777705,0.109310513585
1,19,0.149606299213,0.00787401574803,-0.000952464083207,3.43300898372e-05,0.024565615042,0.000953082569806,0.124720027525
1,20,0.157480314961,0.00787401574803,-0.00100868296689,3.46215624672e-05,0.0250674924772,0.00100927695915,0.134002862822
1,21,0.165354330709,0.00787401574803,-0.00115153058873,3.59186295284e-05,0.0245185031726,0.00115209064085,0.149827744585
1,22,0.173228346457,0.00787401574803,-0.00121189028564,3.61592679406e-05,0.0250725298859,0.00121242960913,0.15960861085
1,23,0.181102362205,0.00787401574803,-0.00135734364102,3.75977330216e-05,0.0244724976127,0.00135786426028,0.175808245743
1,24,0.188976377953,0.00787401574803,-0.00142205265431,3.78960015774e-05,0.0250777211455,0.00142255750624,0.186088747354
1,25,0.196850393701,0.00787401574803,-0.00157026654046,3.9548833875e-05,0.0244277538453,0.00157076450124,0.202668534281
1,26,0.204724409449,0.00787401574803,-0.00163980617122,3.99550322178e-05,0.025083174771,0.00164029286524,0.213484283242
1,27,0.212598425197,0.00787401574803,-0.00179112457373,4.18445676101e-05,0.0243845950674,0.00179161329713,0.230473742823
1,28,0.220472440945,0.00787401574803,-0.00186607580008,4.23644907716e-05,0.0250891721225,0.00186655662698,0.241874339899
1,29,0.228346456693,0.00787401574803,-0.00202087650489,4.44746237165e-05,0.0243435093934,0.00202136583531,0.259308840316
1,30,0.236220472441,0.00787401574803,-0.00210178268805,4.50802397274e-05,0.0250961573905,0.00210226608587,0.271341416418
1,31,0.244094488189,0.00787401574803,-0.00226035431423,4.73652179197e-05,0.0243051354256,0.00226085052353,0.289247246645
1,32,0.251968503937,0.00787401574803,-0.00234761159034,4.8001784801e-05,0.025104719132,0.00234810228705,0.301942974479
1,33,0.259842519685,0.00787401574803,-0.00251005378543,5.0391640741e-05,0.0242702414704,0.00251055956376,0.320324989132
1,34,0.267716535433,0.00787401574803,-0.00260381995622,5.0981793806e-05,0.0251155670914,0.00260431901036,0.333687738819
1,35,0.275590551181,0.00787401574803,-0.00276995825119,5.33852683752e-05,0.0242397008977,0.00277047264924,0.352518780299
1,36,0.283464566929,0.00787401574803,-0.00287007300283,5.38311523612e-05,0.0251295057069,0.00287057778758,0.366515233375
1,37,0.291338582677,0.00787401574803,-0.003039382717,5.61372759999e-05,0.0242144642273,0.0030399010994,0.385726791703
1,38,0.299212598425,0.00787401574803,-0.00314529535229,5.63219050664e-05,0.025147404209,0.003145799582,0.400277650808
1,39,0.307086614173,0.00787401574803,-0.00331683247894,5.84013567508e-05,0.0241955273934,0.00331734659205,0.419751578904
1,40,0.314960629921,0.00787401574803,-0.00342753680334,5.81902246534e-05,0.0251701624308,0.00342803072339,0.434723870927
1,41,0.322834645669,0.00787401574803,-0.00359987702588,5.98973562451e-05,0.0241838951361,0.00360037529916,0.454285316508
1,42,0.330708661417,0.00787401574803,-0.00371385587592,5.91410480667e-05,0.0251986711843,0.00371432673989,0.469486096367
1,43,0.338582677165,0.00787401574803,-0.00388504530117,6.03171834257e-05,0.0241805383779,0.0038855134995,0.488898078986
1,44,0.346456692913,0.00787401574803,-0.00400022919425,5.88554752495e-05,0.0252337661297,0.00400066214189,0.504070060483
1,45,0.354330708661,0.00787401574803,-0.00416775196618,5.933385679e-05,0.0241863446432,0.00416817429556,0.523030293689
1,46,0.362204724409,0.00787401574803,-0.00428149753222,5.70015862728e-05,0.0252761743752,0.00428187695984,0.537850057852
1,47,0.370078740157,0.00787401574803,-0.00444226633139,5.66141719855e-05,0.0242020609949,0.00444262707454,0.555990696902
1,48,0.377952755906,0.00787401574803,-0.00455136071559,5.32490194328e-05,0.0253264535863,0.00455167220057,0.570070167414
1,49,0.385826771654,0.00787401574803,-0.00470173640872,5.18352073628e-05,0.0242282296202,0.0047020221337,0.586961164445
1,50,0.393700787402,0.00787401574803,-0.00480243382998,4.72874043852e-05,0.0253849241861,0.00480266663323,0.599853004677
1,51,0.40157480315,0.00787401574803,-0.00493828027342,4.47046308634e-05,0.0242651171656,0.00493848261745,0.615009682903
1,52,0.409448818898,0.00787401574803,-0.0050263763819,3.88484615272e-05,0.0254515963689,0.00502652650798,0.626217162327
1,53,0.417322834646,0.00787401574803,-0.00514315553715,3.4984437593e-05,0.0243126402284,0.0051432745202,0.639112476471
1,54,0.425196850394,0.00787401574803,-0.00521410401888,2.77311779606e-05,0.0255260951288,0.0052141777624,0.648104169808
1,55,0.433070866142,0.00787401574803,-0.00530701495098,2.25172714464e-05,0.0243702910415,0.00530706272032,0.658185893258
1,56,0.44094488189,0.00787401574803,-0.00535608880402,1.38289194958e-05,0.0256075882499,0.00535610665648,0.664415304695
1,57,0.448818897638,0.00787401574803,-0.0054202516398,7.25386714018e-06,0.024437069203,0.00542025649368,0.671128067707
1,58,0.456692913386,0.00787401574803,-0.00544274856315,-2.84332795225e-06,0.0256947240271,0.00544274930584,0.674057911971
1,59,0.464566929134,0.00787401574803,-0.00547343101114,-1.07205419892e-05,0.0245114270534,0.00547344151003,0.676869612617
1,60,0.472440944882,0.00787401574803,-0.00546491840615,-2.21240799499e-05,0.0257855870808,0.00546496318934,0.676000045081
1,61,0.48031496063,0.00787401574803,-0.00545779807506,-3.11636511153e-05,0.0245912376509,0.00545788704549,0.674431684872
1,62,0.488188976378,0.00787401574803,-0.0054143884517,-4.36858998738e-05,0.025877681623,0.0054145646883,0.669331282954
1,63,0.496062992126,0.00787401574803,-0.00536583924975,-5.36606016619e-05,0.0246737948346,0.0053661075571,0.662988780322
1,64,0.503937007874,0.00787401574803,-0.00528448176231,-6.70247355478e-05,0.0259679515208,0.00528490679307,0.653326585036
1,65,0.511811023622,0.00787401574803,-0.00519186761808,-7.76189637477e-05,0.024755854229,0.00519244779148,0.641932646415
1,66,0.51968503937,0.00787401574803,-0.00507063661626,-9.14613147362e-05,0.0260528451555,0.00507146141327,0.627509136424
1,67,0.527559055118,0.00787401574803,-0.00493259129462,-0.000102277220496,0.0248337219276,0.00493365153913,0.610932881172
1,68,0.535433070866,0.00787401574803,-0.00477094887962,-0.000116157273636,0.0261284301638,0.0047723626983,0.59170743869
1,69,0.543307086614,0.00787401574803,-0.00458761751657,-0.000126728930034,0.0249033939061,0.00458936757081,0.569989246852
1,70,0.551181102362,0.00787401574803,-0.00438662488648,-0.000140147564099,0.0261905587003,0.00438886309133,0.546101548874
1,71,0.55905511811,0.00787401574803,-0.00415984176045,-0.000149963355616,0.0249607440838,0.00416254399136,0.519470588269
1,72,0.566929133858,0.00787401574803,-0.00392229429022,-0.000162389064073,0.0262350781518,0.00392565443044,0.491253469155
1,73,0.574803149606,0.00787401574803,-0.00365567288084,-0.000170921530019,0.0250017528296,0.0036596664303,0.460135602387
1,74,0.582677165354,0.00787401574803,-0.00338613689716,-0.000181823332951,0.0262580758621,0.00339101501187,0.428117315106
1,75,0.590551181102,0.00787401574803,-0.00308505280715,-0.000188564635355,0.0250227613212,0.00309081015991,0.393131604964
1,76,0.59842519685,0.00787401574803,-0.0027897880755,-0.000197449332973,0.0262561402543,0.00279676665907,0.358026060783
1,77,0.606299212598,0.00787401574803,-0.00246124290518,-0.000201949499852,0.0250207314842,0.0024695141706,0.319968870365
1,78,0.614173228346,0.00787401574803,-0.00214800373395,-0.000208399982306,0.0262266157981,0.00215808957036,0.282653329734
1,79,0.622047244094,0.00787401574803,-0.00180036807021,-0.00021030426986,0.0249934873215,0.00181260946542,0.242470003635
1,80,0.629921259843,0.00787401574803,-0.00147808699429,-0.000214014962266,0.0261678266053,0.00149350044083,0.203950759033
1,81,0.637795275591,0.00787401574803,-0.00112073241666,-0.000213096257894,0.0249399122555,0.0011408116255,0.16269599155
1,82,0.645669291339,0.00787401574803,-0.000799102540736,-0.000213901605573,0.0260792438739,0.000827235617873,0.124063727671
1,83,0.653543307087,0.00787401574803,-0.00044194465397,-0.000210083898385,0.0248600792851,0.000489336613727,0.0828528607903
1,84,0.661417322835,0.00787401574803,-0.000130928449636,-0.000207976195244,0.025961576352,0.000245756702273,0.04523047442
1,85,0.669291338583,0.00787401574803,0.000216086154225,-0.00020134584195,0.0247552964417,0.000295352965311,0.00518498969668
1,86,0.677165354331,0.00787401574803,0.000506784137033,-0.000196479696759,0.0258167702691,0.000543538805227,-0.0303284365555
1,87,0.685039370079,0.00787401574803,0.000834206041934,-0.000187282476291,0.0246280586976,0.000854970435936,-0.0681371998972
1,88,0.692913385827,0.00787401574803,0.00109565903304,-0.000179964707824,0.0256479149721,0.00111034049406,-0.100521982111
1,89,0.700787401575,0.00787401574803,0.0013950345649,-0.000168588340188,0.024481908024,0.00140518449526,-0.135126457947
1,90,0.708661417323,0.00787401574803,0.00161956123307,-0.000159253891501,0.0254590614122,0.0016273722345,-0.163492997146
1,91,0.716535433071,0.00787401574803,0.00188385809391,-0.000146197546278,0.0243212141326,0.00188952243716,-0.194076016492
1,92,0.724409448819,0.00787401574803,0.00206539734019,-0.000135373826279,0.0252549709731,0.0020698290378,-0.217706447035
1,93,0.732283464567,0.00787401574803,0.00228932068888,-0.000121207857232,0.0241508978347,0.00229252711242,-0.243637061391
1,94,0.740157480315,0.00787401574803,0.00242368210318,-0.000109471443536,0.0250408202305,0.00242615311434,-0.26201452194
1,95,0.748031496063,0.00787401574803,0.00260385582183,-9.47918606051e-05,0.0239761253907,0.00260558067189,-0.282870249569
1,96,0.755905511811,0.00787401574803,0.00268882754212,-8.27224673817e-05,0.024821891794,0.0026900997301,-0.295693649689
1,97,0.763779527559,0.00787401574803,0.00282383000672,-6.8105282134e-05,0.0238020047281,0.00282465117073,-0.31126773985
1,98,0.771653543307,0.00787401574803,0.00285914122948,-5.62421630304e-05,0.0246032817928,0.00285969434573,-0.318451390193
1,99,0.779527559055,0.00787401574803,0.00294940079706,-4.22026489374e-05,0.0236333127345,0.00294970271812,-0.328745273587
1,100,0.787401574803,0.00787401574803,0.0029365519966,-3.10081838769e-05,0.02438965099,0.00293671570572,-0.330404357949
1,101,0.795275590551,0.00787401574803,0.00298412266288,-1.79693806539e-05,0.0234742775677,0.00298417676517,-0.335607054605
1,102,0.803149606299,0.00787401574803,0.00292611085672,-7.80367082917e-06,0.0241850398333,0.00292612126254,-0.332031478919
1,103,0.811023622047,0.00787401574803,0.00293436155422,3.92261131897e-06,0.0233284321783,0.00293436417607,-0.332489211616
1,104,0.818897637795,0.00787401574803,0.00283533946772,1.28134307321e-05,0.0239927592907,0.00283536842072,-0.324109733275
1,105,0.826771653543,0.00787401574803,0.00280860045693,2.30309369806e-05,0.0231985464386,0.00280869488388,-0.320290239629
1,106,0.834645669291,0.00787401574803,0.00267351683394,3.0510897527e-05,0.0238153604256,0.00267369092758,-0.307641887012
1,107,0.842519685039,0.00787401574803,0.00261673370228,3.9127159312e-05,0.0230866366099,0.00261702621371,-0.300098898389
1,108,0.850393700787,0.00787401574803,0.0024510078131,4.51498450978e-05,0.0236546773117,0.00245142362891,-0.28378752822
1,109,0.858267716535,0.00787401574803,0.00236945865214,5.21470219075e-05,0.0229940430072,0.00237003240823,-0.27313160917
1,110,0.866141732283,0.00787401574803,0.0021787464036,5.67165314275e-05,0.0235119302769,0.00217948449321,-0.253810051621
1,111,0.874015748031,0.00787401574803,0.00207788206334,6.21029351442e-05,0.022921559371,0.00207880991043,-0.24069250317
1,112,0.88188976378,0.00787401574803,0.00186799517189,6.52136891977e-05,0.0233878687414,0.00186913316472,-0.219053114528
1,113,0.889763779528,0.00787401574803,0.00175346701979,6.89525932733e-05,0.0228695891756,0.00175482222735,-0.204169886466
1,114,0.897637795276,0.00787401574803,0.00153051068771,7.05031991738e-05,0.0232829228315,0.00153213369726,-0.180960293261
1,115,0.905511811024,0.00787401574803,0.00140845438795,7.24131883261e-05,0.0228382918032,0.00141031465737,-0.16508246425
1,116,0.913385826772,0.00787401574803,0.00117925020038,7.208660585e-05,0.0231973160419,0.00118145144371,-0.141150111054
1,117,0.92125984252,0.00787401574803,0.00105689232434,7.17052667937e-05,0.022827659182,0.00105932196736,-0.125185142185
1,118,0.929133858268,0.00787401574803,0.000829739997876,6.88064089567e-05,0.0231310586654,0.000832588004951,-0.101551377625
1,119,0.937007874016,0.00787401574803,0.000716364636685,6.52155317982e-05,0.0228374189775,0.000719327017622,-0.0866302261841
1,120,0.944881889764,0.00787401574803,0.000502122598691,5.84827111918e-05,0.0230836755193,0.000505516895489,-0.0645767035702
1,121,0.952755905512,0.00787401574803,0.000410286501208,5.01722462022e-05,0.0228665704971,0.000413342796433,-0.0521278820749
1,122,0.96062992126,0.00787401574803,0.000223427150647,3.77889798939e-05,0.0230533927459,0.000226600305931,-0.0332109346075
1,123,0.968503937008,0.00787401574803,0.000169663675595,2.31688082114e-05,0.0229122047022,0.000171238303222,-0.0248515873177
1,124,0.976377952756,0.00787401574803,2.76117580718e-05,4.5085413198e-06,0.0230353434918,2.79774217656e-05,-0.010492095101
1,125,0.984251968504,0.00787401574803,2.92338441504e-05,-1.31311033511e-05,0.0229672373255,3.20475197017e-05,-0.00698507003174
1,126,0.992125984252,0.00787401574803,-5.6699296141e-05,-2.42575181634e-05,0.0230188344692,6.16703929802e-05,0.00419680439073
1,127,1,0.00787401574803,0,0,0.0230188344692,0,0
2,0,0,0.0157480314961,0,0,0.0250034502624,0,0
2,1,0.00787401574803,0.0157480314961,-3.77717569552e-05,-2.61076680175e-05,0.0250034502624,4.59164017841e-05,-0.00106526116886
2,2,0.0157480314961,0.0157480314961,2.89330909081e-05,-2.86107371822e-05,0.0250305540476,4.06902694954e-05,0.00118068557255
2,3,0.0236220472441,0.0157480314961,-1.2086372825e-05,-1.91156764956e-05,0.0249729434003,2.26161335323e-05,0.00444179287482
2,4,0.0314960629921,0.0157480314961,3.45842927197e-05,6.51930376339e-07,0.025048679394,3.45904367728e-05,0.00671715428011
2,5,0.0393700787402,0.0157480314961,-3.97993291011e-05,2.29558301398e-05,0.024933730876,4.59451491923e-05,0.0105530139254
2,6,0.0472440944882,0.0157480314961,-3.1265297438e-05,4.71882910868e-05,0.0250602632394,5.66061272265e-05,0.0139611961547
2,7,0.0551181102362,0.0157480314961,-0.000147016917524,7.01180580725e-05,0.0248887802135,0.000162881908468,0.0193284874845
2,8,0.0629921259843,0.0157480314961,-0.000178459427467,9.16080448235e-05,0.0250679413981,0.000200598606994,0.0244535626
2,9,0.0708661417323,0.0157480314961,-0.000332389603973,0.000110854612453,0.0248407579696,0.000350387776515,0.0316002057562
2,10,0.0787401574803,0.0157480314961,-0.000398351027752,0.000127480317212,0.0250737515886,0.000418252044332,0.0384592490814
2,11,0.0866141732283,0.0157480314961,-0.00058305446671,0.000142149910766,0.0247915508018,0.000600132575587,0.0472395627674
2,12,0.0944881889764,0.0157480314961,-0.000675965090328,0.000153954748588,0.0250789655239,0.000693275463258,0.0555962818358
2,13,0.102362204724,0.0157480314961,-0.000883522033433,0.00016457707245,0.0247422931834,0.000898719531521,0.0657192154104
2,14,0.110236220472,0.0157480314961,-0.000996288222316,0.000172461786544,0.0250842205998,0.00101110498453,0.0752690391359
2,15,0.11811023622,0.0157480314961,-0.00121997323955,0.000180073924919,0.0246935656021,0.00123319151945,0.0864308429322
2,16,0.125984251969,0.0157480314961,-0.0013470583501,0.000185171063865,0.0250897302193,0.00135972589939,0.0968935018638
2,17,0.133858267717,0.0157480314961,-0.00158193127272,0.000190871280399,0.0246456112465,0.00159340465585,0.108839327699
2,18,0.141732283465,0.0157480314961,-0.00171960869444,0.000194240816054,0.0250954803867,0.0017305442949,0.119997323573
2,19,0.149606299213,0.0157480314961,-0.00196250998927,0.000198978391448,0.0245985167219,0.0019725713823,0.132542136334
2,20,0.157480314961,0.0157480314961,-0.00210869276459,0.000201474950637,0.0251013825506,0.00211829585544,0.144248848821
2,21,0.165354330709,0.0157480314961,-0.00235795433524,0.00020597022898,0.024552343567,0.00236693311741,0.157276132222
2,22,0.173228346457,0.0157480314961,-0.00251184232722,0.000208206240201,0.0251073788853,0.00252045664817,0.169448047004
2,23,0.181102362205,0.0157480314961,-0.00276689705759,0.00021294219359,0.024507213729,0.00277507904484,0.182897622873
2,24,0.188976377953,0.0157480314961,-0.00292858035354,0.000215301472558,0.0251135064429,0.00293648388575,0.195499502653
2,25,0.196850393701,0.0157480314961,-0.00318957143047,0.000220550027884,0.0244633579393,0.00319718754922,0.209351239484
2,26,0.204724409449,0.0157480314961,-0.00335966148268,0.000223222701646,0.0251199297223,0.00336706900029,0.222379351444
2,27,0.212598425197,0.0157480314961,-0.00362709830243,0.000229082557278,0.0244211369289,0.00363432537255,0.236636502994
2,28,0.220472440945,0.0157480314961,-0.00380641466671,0.000232103453944,0.0251269509832,0.00381348457821,0.250102535464
2,29,0.228346456693,0.0157480314961,-0.00408088803555,0.000238535911154,0.0243810442043,0.00408785353696,0.264776450174
2,30,0.236220472441,0.0157480314961,-0.00427020257774,0.000241816972656,0.0251350059165,0.00427704401464,0.27869316906
2,31,0.244094488189,0.0157480314961,-0.00455215320524,0.000248673627598,0.0243436969931,0.00455894037876,0.293789898443
2,32,0.251968503937,0.0157480314961,-0.00475198104928,0.000252027064672,0.0251446500748,0.00475865963629,0.30815870247
2,33,0.259842519685,0.0157480314961,-0.00504150800882,0.00025906831482,0.0243098197381,0.00504816000091,0.32366742262
2,34,0.267716535433,0.0157480314961,-0.00525193139313,0.000262221259831,0.0251565393749,0.00525847348071,0.338467574803
2,35,0.275590551181,0.0157480314961,-0.00554862749654,0.000269127640588,0.0242802225785,0.00555515047341,0.354350544309
2,36,0.283464566929,0.0157480314961,-0.00576914143136,0.000271731191441,0.0251714062941,0.00577553726465,0.369529815493
2,37,0.291338582677,0.0157480314961,-0.0060719469119,0.000278110898223,0.0242557758164,0.0060783126748,0.385713663656
2,38,0.299212598425,0.0157480314961,-0.00630132097135,0.00027974709395,0.0251900322037,0.00630752759966,0.401180272022
2,39,0.307086614173,0.0157480314961,-0.00660839276551,0.000285143144699,0.0242373804178,0.00661454167394,0.41754860735
