solver_group,CaseID,Implementation,N,Re,Scheme,PressureSolver,Runtime_s,Iterations,AvgPoissonRelResidual,Quality,source_file
c_serial,24,serial_c,64,1000,central,RBSOR,169.56037,8500,7.97024667852e-05,needs_improvement,comparison/results/split/c_serial_case_024.csv
c_serial,25,serial_c,128,100,upwind,RBGS,10300.663749,7000,0.000140371533297,validated_but_not_converged,comparison/results/split/c_serial_case_025.csv
c_serial,26,serial_c,128,100,upwind,RBSOR,1798.634903,7000,9.31921712343e-05,validated_but_not_converged,comparison/results/split/c_serial_case_026.csv
c_serial,27,serial_c,128,100,central,RBGS,11756.139087,8500,0.000149392174025,validated_but_not_converged,comparison/results/split/c_serial_case_027.csv
c_serial,28,serial_c,128,100,central,RBSOR,2103.90963,8500,9.35820927654e-05,validated_but_not_converged,comparison/results/split/c_serial_case_028.csv
c_serial,29,serial_c,128,400,upwind,RBGS,10834.301904,7000,0.000361222821364,validated_but_not_converged,comparison/results/split/c_serial_case_029.csv
c_serial,30,serial_c,128,400,upwind,RBSOR,2154.188497,7000,9.30158858505e-05,validated_but_not_converged,comparison/results/split/c_serial_case_030.csv
c_serial,31,serial_c,128,400,central,RBGS,13159.795527,8500,0.000399920557594,validated_but_not_converged,comparison/results/split/c_serial_case_031.csv
c_serial,32,serial_c,128,400,central,RBSOR,2505.568947,8500,9.29992719373e-05,validated_but_not_converged,comparison/results/split/c_serial_case_032.csv
c_serial,33,serial_c,128,1000,upwind,RBGS,15478.178228,10000,0.000305247594764,validated_but_not_converged,comparison/results/split/c_serial_case_033.csv
c_serial,34,serial_c,128,1000,upwind,RBSOR,2636.765883,10000,9.36613220349e-05,validated_but_not_converged,comparison/results/split/c_serial_case_034.csv
c_serial,35,serial_c,128,1000,central,RBGS,17915.735894,11500,0.000309287535411,validated_but_not_converged,comparison/results/split/c_serial_case_035.csv
c_serial,36,serial_c,128,1000,central,RBSOR,3082.334158,11500,9.27573244329e-05,validated_but_not_converged,comparison/results/split/c_serial_case_036.csv
cpp_openmp_t4,1,openmp_cpp,32,100,upwind,RBGS,40.189721898,4000,9.17261227739e-05,validated_but_not_converged,comparison/results/split/cpp_openmp_t4_case_001.csv
