SourceFamily,CaseFolder,CaseIndex,case_id,solver_group,language,parallel_model,kernel_style,N,Re,scheme,pressure,steps,poisson_iters,total_cores,mpi_ranks,threads_per_rank,runs,runtime_min_s,runtime_mean_s,runtime_median_s,baseline_cores,baseline_runtime_s,speedup_vs_baseline,parallel_efficiency,best_total_cores,best_runtime_median_s,successful_repeats,Runtime_s_mean,Runtime_s_std,Runtime_s_min,Runtime_s_max
openmp,openmp_case_6,6,case1_N32_Re1000_central_steps2000_p250,cpp_openmp_domain_looped,cpp,openmp_domain,looped,32,1000,central,RBGS,2000.0,250.0,1.0,1,1.0,3.0,0.6786981858,0.6910396963,0.6876408421,1.0,0.6876408421,1.0,1.0,1.0,0.6876408421,,,,,
openmp,openmp_case_6,6,case1_N32_Re1000_central_steps2000_p250,cpp_openmp_domain_looped,cpp,openmp_domain,looped,32,1000,central,RBSOR,2000.0,250.0,1.0,1,1.0,3.0,0.4637822509,0.470187294,0.4686372764,1.0,0.4686372764,1.0,1.0,1.0,0.4686372764,,,,,
openmp,openmp_case_6,6,case1_N32_Re1000_central_steps2000_p250,cpp_openmp_domain_vectorized,cpp,openmp_domain,vectorized,32,1000,central,RBGS,2000.0,250.0,1.0,1,1.0,3.0,0.5170544349,0.5193556460000001,0.5187955834,1.0,0.5187955834,1.0,1.0,1.0,0.5187955834,,,,,
openmp,openmp_case_6,6,case1_N32_Re1000_central_steps2000_p250,cpp_openmp_domain_vectorized,cpp,openmp_domain,vectorized,32,1000,central,RBSOR,2000.0,250.0,1.0,1,1.0,3.0,0.3384106718,0.34392926590000006,0.33855352920000004,1.0,0.33855352920000004,1.0,1.0,1.0,0.33855352920000004,,,,,
openmp,openmp_case_7,7,case1_N64_Re100_upwind_steps1000_p200,c_openmp_domain_looped,c,openmp_domain,looped,64,100,upwind,RBGS,1000.0,200.0,4.0,1,4.0,3.0,3.747777302,3.781245792,3.7898725719999997,1.0,5.480535716,1.4461,0.361525,4.0,3.7898725719999997,,,,,
openmp,openmp_case_7,7,case1_N64_Re100_upwind_steps1000_p200,c_openmp_domain_looped,c,openmp_domain,looped,64,100,upwind,RBSOR,1000.0,200.0,4.0,1,4.0,3.0,2.558432128,2.6142896959999997,2.564845283,1.0,3.79780604,1.48072,0.370179,4.0,2.564845283,,,,,
openmp,openmp_case_7,7,case1_N64_Re100_upwind_steps1000_p200,c_openmp_domain_vectorized,c,openmp_domain,vectorized,64,100,upwind,RBGS,1000.0,200.0,2.0,1,2.0,3.0,3.5176128889999996,3.5315427639999997,3.5202891010000004,1.0,4.221672729,1.1992399999999999,0.5996199999999999,2.0,3.5202891010000004,,,,,
openmp,openmp_case_7,7,case1_N64_Re100_upwind_steps1000_p200,c_openmp_domain_vectorized,c,openmp_domain,vectorized,64,100,upwind,RBSOR,1000.0,200.0,2.0,1,2.0,3.0,2.3736351730000003,2.39230147,2.391640149,1.0,2.89021612,1.2084700000000002,0.604233,2.0,2.391640149,,,,,
openmp,openmp_case_7,7,case1_N64_Re100_upwind_steps1000_p200,cpp_openmp_domain_looped,cpp,openmp_domain,looped,64,100,upwind,RBGS,1000.0,200.0,4.0,1,4.0,3.0,3.8397637939999996,3.8621322439999997,3.8507601510000002,1.0,5.479928587000001,1.42308,0.355769,4.0,3.8507601510000002,,,,,
openmp,openmp_case_7,7,case1_N64_Re100_upwind_steps1000_p200,cpp_openmp_domain_looped,cpp,openmp_domain,looped,64,100,upwind,RBSOR,1000.0,200.0,4.0,1,4.0,3.0,2.486568212,2.501261584,2.501992352,1.0,3.799600475,1.51863,0.379657,4.0,2.501992352,,,,,
openmp,openmp_case_7,7,case1_N64_Re100_upwind_steps1000_p200,cpp_openmp_domain_vectorized,cpp,openmp_domain,vectorized,64,100,upwind,RBGS,1000.0,200.0,4.0,1,4.0,3.0,3.444137897,3.570934532,3.6318182610000003,1.0,4.22552279,1.16347,0.29086799999999996,4.0,3.6318182610000003,,,,,
openmp,openmp_case_7,7,case1_N64_Re100_upwind_steps1000_p200,cpp_openmp_domain_vectorized,cpp,openmp_domain,vectorized,64,100,upwind,RBSOR,1000.0,200.0,4.0,1,4.0,3.0,2.309310406,2.3612924680000003,2.348884679,1.0,2.889147729,1.23001,0.307502,4.0,2.348884679,,,,,
openmp,openmp_case_8,8,case1_N64_Re100_central_steps1000_p200,c_openmp_domain_looped,c,openmp_domain,looped,64,100,central,RBGS,1000.0,200.0,4.0,1,4.0,3.0,3.9040364739999998,3.9662058460000003,3.938102085,1.0,5.44570804,1.38283,0.345706,4.0,3.938102085,,,,,
openmp,openmp_case_8,8,case1_N64_Re100_central_steps1000_p200,c_openmp_domain_looped,c,openmp_domain,looped,64,100,central,RBSOR,1000.0,200.0,4.0,1,4.0,3.0,2.689974457,2.702620053,2.704589002,1.0,3.745619752,1.38491,0.34622800000000004,4.0,2.704589002,,,,,
