SourceFamily,CaseFolder,CaseIndex,case_id,solver_group,language,parallel_model,kernel_style,N,Re,scheme,pressure,steps,poisson_iters,total_cores,mpi_ranks,threads_per_rank,runs,runtime_min_s,runtime_mean_s,runtime_median_s,baseline_cores,baseline_runtime_s,speedup_vs_baseline,parallel_efficiency,successful_repeats,Runtime_s_mean,Runtime_s_std,Runtime_s_min,Runtime_s_max
openmp,openmp_case_2,2,case1_N32_Re100_central_steps1000_p200,cpp_openmp_domain_looped,cpp,openmp_domain,looped,32,100,central,RBSOR,1000.0,200.0,4.0,1,4.0,3.0,1.038027529,1.041208473,1.040890042,1.0,0.6657766998,0.6396229999999999,0.159906,,,,,
openmp,openmp_case_2,2,case1_N32_Re100_central_steps1000_p200,cpp_openmp_domain_looped,cpp,openmp_domain,looped,32,100,central,RBGS,1000.0,200.0,8.0,1,8.0,3.0,3.2440915969999997,3.267147647,3.2705263639999997,1.0,1.1307642390000001,0.345744,0.043218,,,,,
openmp,openmp_case_2,2,case1_N32_Re100_central_steps1000_p200,cpp_openmp_domain_looped,cpp,openmp_domain,looped,32,100,central,RBSOR,1000.0,200.0,8.0,1,8.0,3.0,1.773906723,1.794125854,1.800525978,1.0,0.6657766998,0.369768,0.046221,,,,,
openmp,openmp_case_2,2,case1_N32_Re100_central_steps1000_p200,cpp_openmp_domain_looped,cpp,openmp_domain,looped,32,100,central,RBGS,1000.0,200.0,16.0,1,16.0,3.0,6.55757181,7.1716162610000005,6.95877061,1.0,1.1307642390000001,0.162495,0.010155899999999999,,,,,
openmp,openmp_case_2,2,case1_N32_Re100_central_steps1000_p200,cpp_openmp_domain_looped,cpp,openmp_domain,looped,32,100,central,RBSOR,1000.0,200.0,16.0,1,16.0,3.0,3.655613493,3.9472060860000004,3.7534621280000002,1.0,0.6657766998,0.177377,0.011086,,,,,
openmp,openmp_case_2,2,case1_N32_Re100_central_steps1000_p200,cpp_openmp_domain_vectorized,cpp,openmp_domain,vectorized,32,100,central,RBGS,1000.0,200.0,1.0,1,1.0,3.0,0.893013265,0.8959108379999999,0.8953196070999999,1.0,0.8953196070999999,1.0,1.0,,,,,
openmp,openmp_case_2,2,case1_N32_Re100_central_steps1000_p200,cpp_openmp_domain_vectorized,cpp,openmp_domain,vectorized,32,100,central,RBSOR,1000.0,200.0,1.0,1,1.0,3.0,0.5046291761,0.505399391,0.5055801533,1.0,0.5055801533,1.0,1.0,,,,,
openmp,openmp_case_2,2,case1_N32_Re100_central_steps1000_p200,cpp_openmp_domain_vectorized,cpp,openmp_domain,vectorized,32,100,central,RBGS,1000.0,200.0,2.0,1,2.0,3.0,1.374494579,1.457515186,1.385813605,1.0,0.8953196070999999,0.646061,0.32303000000000004,,,,,
openmp,openmp_case_2,2,case1_N32_Re100_central_steps1000_p200,cpp_openmp_domain_vectorized,cpp,openmp_domain,vectorized,32,100,central,RBSOR,1000.0,200.0,2.0,1,2.0,3.0,0.764552325,0.8115219213,0.7670299187,1.0,0.5055801533,0.65914,0.32957,,,,,
openmp,openmp_case_2,2,case1_N32_Re100_central_steps1000_p200,cpp_openmp_domain_vectorized,cpp,openmp_domain,vectorized,32,100,central,RBGS,1000.0,200.0,4.0,1,4.0,3.0,1.812490355,1.828033367,1.8272685819999999,1.0,0.8953196070999999,0.48997700000000005,0.122494,,,,,
openmp,openmp_case_2,2,case1_N32_Re100_central_steps1000_p200,cpp_openmp_domain_vectorized,cpp,openmp_domain,vectorized,32,100,central,RBSOR,1000.0,200.0,4.0,1,4.0,3.0,1.0078794290000002,1.0229677609999999,1.018520776,1.0,0.5055801533,0.49638699999999997,0.124097,,,,,
openmp,openmp_case_2,2,case1_N32_Re100_central_steps1000_p200,cpp_openmp_domain_vectorized,cpp,openmp_domain,vectorized,32,100,central,RBGS,1000.0,200.0,8.0,1,8.0,3.0,3.1859039069999997,3.26037628,3.287687741,1.0,0.8953196070999999,0.272325,0.0340406,,,,,
openmp,openmp_case_2,2,case1_N32_Re100_central_steps1000_p200,cpp_openmp_domain_vectorized,cpp,openmp_domain,vectorized,32,100,central,RBSOR,1000.0,200.0,8.0,1,8.0,3.0,1.7634274769999998,1.7801044680000002,1.7801882919999998,1.0,0.5055801533,0.284004,0.0355005,,,,,
