CaseID,Implementation,N,Re,Scheme,PressureSolver,Status,Quality,Iterations,LocalMaxIter,FinalRu,FinalRv,FinalRcMass,FinalRcDiv,Runtime_s,AvgPoissonIterations,AvgPoissonRelResidual,PressureSaturationRatio,HasGhia,ValidationPass,Ghia_u_L2,Ghia_v_L2,Ghia_u_Linf,Ghia_v_Linf,Ghia_u_L2_Limit,Ghia_v_L2_Limit,solver_group,source_type,source_file,OriginalImplementation,case_id_std,N_std,Re_std,runtime_std,validation_error_std,residual_std,iterations_std,scheme_std,pressure_std,implementation_std,quality_std
23,openmp_c,64,1000,central,RBGS,maxIter,needs_improvement,8500,8500,5.35394700853e-05,4.16763374325e-05,5.83839760377e-07,0.00231726000894,655.472181624,1097.5,9.80088314945e-05,0.000117647058824,1,0,0.181040491524,0.242792916127,0.369288486042,0.373228253513,0.16,0.18,c_openmp_t4,array_split,comparison/results/split/c_openmp_t4_case_023.csv,,23,64,1000,655.472181624,,9.80088314945e-05,8500,central,RBGS,openmp_c,needs_improvement
24,openmp_c,64,1000,central,RBSOR,maxIter,needs_improvement,8500,8500,5.35394460581e-05,4.16763372107e-05,5.83871575359e-07,0.0023173862826,89.8352770079,160.602941176,7.97024667854e-05,0.0,1,0,0.181040503445,0.242792927183,0.369288490241,0.373228296736,0.16,0.18,c_openmp_t4,array_split,comparison/results/split/c_openmp_t4_case_024.csv,,24,64,1000,89.8352770079,,7.97024667854e-05,8500,central,RBSOR,openmp_c,needs_improvement
25,openmp_c,128,100,upwind,RBGS,maxIter,validated_but_not_converged,7000,7000,4.34949702726e-06,4.2926620436e-06,3.84698709523e-08,0.000620480548589,4044.58329024,2375.93928571,0.000140371533297,0.752,1,1,0.00653008199444,0.00403638994947,0.0153487348916,0.00701426612159,0.03,0.03,c_openmp_t4,array_split,comparison/results/split/c_openmp_t4_case_025.csv,,25,128,100,4044.58329024,,0.000140371533297,7000,upwind,RBGS,openmp_c,validated_but_not_converged
26,openmp_c,128,100,upwind,RBSOR,maxIter,validated_but_not_converged,7000,7000,4.34949952947e-06,4.29266607579e-06,3.84504737728e-08,0.000620167691481,777.393603282,506.332142857,9.31921712343e-05,0.0,1,1,0.00653004458302,0.00403637046787,0.0153486673559,0.00701423925093,0.03,0.03,c_openmp_t4,array_split,comparison/results/split/c_openmp_t4_case_026.csv,,26,128,100,777.393603282,,9.31921712343e-05,7000,upwind,RBSOR,openmp_c,validated_but_not_converged
27,openmp_c,128,100,central,RBGS,maxIter,validated_but_not_converged,8500,8500,2.52043084586e-06,2.55544422745e-06,2.73062580309e-08,0.000440422635781,4545.85696896,2232.71176471,0.000149392174025,0.653294117647,1,1,0.00305795191488,0.00408716036953,0.00657014447447,0.00834565643421,0.03,0.03,c_openmp_t4,array_split,comparison/results/split/c_openmp_t4_case_027.csv,,27,128,100,4545.85696896,,0.000149392174025,8500,central,RBGS,openmp_c,validated_but_not_converged
28,openmp_c,128,100,central,RBSOR,maxIter,validated_but_not_converged,8500,8500,2.52047541221e-06,2.55553368994e-06,2.72940267157e-08,0.000440225356897,886.647614539,488.497058824,9.35820927654e-05,0.0,1,1,0.00305794586333,0.00408720046691,0.00657010491707,0.00834576663545,0.03,0.03,c_openmp_t4,array_split,comparison/results/split/c_openmp_t4_case_028.csv,,28,128,100,886.647614539,,9.35820927654e-05,8500,central,RBSOR,openmp_c,validated_but_not_converged
29,openmp_c,128,400,upwind,RBGS,maxIter,validated_but_not_converged,7000,7000,3.06381780233e-05,2.49835189863e-05,1.33943357075e-08,0.000216037240627,4247.35199415,2499.18214286,0.000361222821364,0.999428571429,1,1,0.0778945719373,0.0947748323741,0.154852462863,0.145751878974,0.09,0.12,c_openmp_t4,array_split,comparison/results/split/c_openmp_t4_case_029.csv,,29,128,400,4247.35199415,,0.000361222821364,7000,upwind,RBGS,openmp_c,validated_but_not_converged
30,openmp_c,128,400,upwind,RBSOR,maxIter,validated_but_not_converged,7000,7000,3.06382125042e-05,2.49835403071e-05,1.33938081327e-08,0.000216028731372,933.3730729,609.739285714,9.30158858505e-05,0.0,1,1,0.0778945327861,0.0947747829658,0.154852389066,0.145751818419,0.09,0.12,c_openmp_t4,array_split,comparison/results/split/c_openmp_t4_case_030.csv,,30,128,400,933.3730729,,9.30158858505e-05,7000,upwind,RBSOR,openmp_c,validated_but_not_converged
31,openmp_c,128,400,central,RBGS,maxIter,validated_but_not_converged,8500,8500,2.77515265521e-05,2.42671050327e-05,1.33636720615e-08,0.000215542666679,5085.34344272,2499.43235294,0.000399920557594,0.999529411765,1,1,0.0538818116584,0.0651806682393,0.116777449231,0.104634807477,0.09,0.12,c_openmp_t4,array_split,comparison/results/split/c_openmp_t4_case_031.csv,,31,128,400,5085.34344272,,0.000399920557594,8500,central,RBGS,openmp_c,validated_but_not_converged
32,openmp_c,128,400,central,RBSOR,maxIter,validated_but_not_converged,8500,8500,2.77515413115e-05,2.42671167981e-05,1.33651816586e-08,0.000215567014971,1543.30865516,585.088235294,9.29992719373e-05,0.0,1,1,0.0538817994075,0.0651806476726,0.116777427621,0.104634775905,0.09,0.12,c_openmp_t4,array_split,comparison/results/split/c_openmp_t4_case_032.csv,,32,128,400,1543.30865516,,9.29992719373e-05,8500,central,RBSOR,openmp_c,validated_but_not_converged
33,openmp_c,128,1000,upwind,RBGS,maxIter,validated_but_not_converged,10000,10000,3.26203968117e-05,2.71537864225e-05,4.48093333822e-09,7.22729738121e-05,8905.35303271,2499.19,0.000305247594764,0.9992,1,1,0.12906368367,0.152239171474,0.273964461527,0.236003693035,0.16,0.18,c_openmp_t4,array_split,comparison/results/split/c_openmp_t4_case_033.csv,,33,128,1000,8905.35303271,,0.000305247594764,10000,upwind,RBGS,openmp_c,validated_but_not_converged
34,openmp_c,128,1000,upwind,RBSOR,maxIter,validated_but_not_converged,10000,10000,3.26203865439e-05,2.71537916502e-05,4.48305724396e-09,7.23072302878e-05,1134.18869314,519.9575,9.36613220349e-05,0.0,1,1,0.129063590997,0.152239027345,0.273964205043,0.236003527188,0.16,0.18,c_openmp_t4,array_split,comparison/results/split/c_openmp_t4_case_034.csv,,34,128,1000,1134.18869314,,9.36613220349e-05,10000,upwind,RBSOR,openmp_c,validated_but_not_converged
